,#,Name,Title,Fed,Rating,B-Year,date
0,1,"Carlsen, Magnus",GM,NOR,2830,1990,2024-01
1,2,"Caruana, Fabiano",GM,USA,2804,1992,2024-01
2,3,"Nakamura, Hikaru",GM,USA,2788,1987,2024-01
3,4,"Ding, Liren",GM,CHN,2780,1992,2024-01
4,5,"Nepomniachtchi, Ian",GM,RUS,2769,1990,2024-01
5,6,"Firouzja, Alireza",GM,FRA,2759,2003,2024-01
6,7,"So, Wesley",GM,USA,2757,1993,2024-01
7,8,"Dominguez Perez, Leinier",GM,USA,2752,1983,2024-01
8,9,"Karjakin, Sergey",GM,RUS,2750,1990,2024-01
9,10,"Giri, Anish",GM,NED,2749,1994,2024-01
10,11,"Anand, Viswanathan",GM,IND,2748,1969,2024-01
11,12,"Keymer, Vincent",GM,GER,2743,2004,2024-01
12,13,Praggnanandhaa R,GM,IND,2743,2005,2024-01
13,14,"Vidit, Santosh Gujrathi",GM,IND,2742,1994,2024-01
14,15,"Maghsoodloo, Parham",GM,IRI,2740,2000,2024-01
15,16,"Wei, Yi",GM,CHN,2740,1999,2024-01
16,17,Erigaisi Arjun,GM,IND,2738,2003,2024-01
17,18,"Vachier-Lagrave, Maxime",GM,FRA,2734,1990,2024-01
18,19,"Duda, Jan-Krzysztof",GM,POL,2732,1998,2024-01
19,20,"Grischuk, Alexander",GM,RUS,2732,1983,2024-01
20,21,"Le, Quang Liem",GM,VIE,2731,1991,2024-01
21,22,"Topalov, Veselin",GM,BUL,2727,1975,2024-01
22,23,"Abdusattorov, Nodirbek",GM,UZB,2727,2004,2024-01
23,24,"Mamedyarov, Shakhriyar",GM,AZE,2726,1985,2024-01
24,25,Gukesh D,GM,IND,2725,2006,2024-01
25,26,"Aronian, Levon",GM,USA,2725,1982,2024-01
26,27,"Radjabov, Teimour",GM,AZE,2723,1987,2024-01
27,28,"Yu, Yangyi",GM,CHN,2720,1994,2024-01
28,29,"Rapport, Richard",GM,HUN,2717,1996,2024-01
29,30,"Artemiev, Vladislav",GM,RUS,2711,1998,2024-01
30,31,"Dubov, Daniil",GM,RUS,2708,1996,2024-01
31,32,"Harikrishna, Pentala",GM,IND,2704,1986,2024-01
32,33,"Eljanov, Pavel",GM,UKR,2704,1983,2024-01
33,34,"Esipenko, Andrey",GM,FID,2704,2002,2024-01
34,35,"Wang, Hao",GM,CHN,2702,1989,2024-01
35,36,"Sindarov, Javokhir",GM,UZB,2701,2005,2024-01
36,37,"Sevian, Samuel",GM,USA,2697,2000,2024-01
37,38,"Tabatabaei, M. Amin",GM,IRI,2696,2001,2024-01
38,39,"Robson, Ray",GM,USA,2696,1994,2024-01
39,40,"Sjugirov, Sanan",GM,HUN,2695,1993,2024-01
40,41,"Sarana, Alexey",GM,SRB,2695,2000,2024-01
41,42,Narayanan S L,GM,IND,2694,1998,2024-01
42,43,Nihal Sarin,GM,IND,2693,2004,2024-01
43,44,"Niemann, Hans Moke",GM,USA,2692,2003,2024-01
44,45,"Fedoseev, Vladimir",GM,SLO,2690,1995,2024-01
45,46,"Deac, Bogdan-Daniel",GM,ROU,2690,2001,2024-01
46,47,"Saric, Ivan",GM,CRO,2689,1990,2024-01
47,48,"Svidler, Peter",GM,FID,2689,1976,2024-01
48,49,"Kasimdzhanov, Rustam",GM,UZB,2688,1979,2024-01
49,50,"Vitiugov, Nikita",GM,ENG,2686,1987,2024-01
50,51,"Bacrot, Etienne",GM,FRA,2683,1983,2024-01
51,52,"Van Foreest, Jorden",GM,NED,2682,1999,2024-01
52,53,"Tomashevsky, Evgeny",GM,RUS,2681,1987,2024-01
53,54,"Navara, David",GM,CZE,2679,1985,2024-01
54,55,"Martirosyan, Haik M.",GM,ARM,2678,2000,2024-01
55,56,"Howell, David W L",GM,ENG,2675,1990,2024-01
56,57,"Adams, Michael",GM,ENG,2674,1971,2024-01
57,58,"Wojtaszek, Radoslaw",GM,POL,2674,1987,2024-01
58,59,"Shankland, Sam",GM,USA,2674,1991,2024-01
59,60,"Grandelius, Nils",GM,SWE,2673,1993,2024-01
60,61,"Sargissian, Gabriel",GM,ARM,2672,1983,2024-01
61,62,"Bu, Xiangzhi",GM,CHN,2671,1985,2024-01
62,63,"Anton Guijarro, David",GM,ESP,2670,1995,2024-01
63,64,"Predke, Alexandr",GM,SRB,2668,1994,2024-01
64,65,"Leko, Peter",GM,HUN,2666,1979,2024-01
65,66,"Yilmaz, Mustafa",GM,TUR,2665,1992,2024-01
66,67,"Oparin, Grigoriy",GM,USA,2664,1997,2024-01
67,68,"Gelfand, Boris",GM,ISR,2664,1968,2024-01
68,69,"Korobov, Anton",GM,UKR,2663,1985,2024-01
69,70,"Volokitin, Andrei",GM,UKR,2663,1986,2024-01
70,71,"Najer, Evgeniy",GM,FID,2663,1977,2024-01
71,72,"Aravindh, Chithambaram VR.",GM,IND,2662,1999,2024-01
72,73,"Matlakov, Maxim",GM,RUS,2662,1991,2024-01
73,74,"Amin, Bassem",GM,EGY,2661,1988,2024-01
74,75,"Yakubboev, Nodirbek",GM,UZB,2661,2002,2024-01
75,76,"Xiong, Jeffery",GM,USA,2659,2000,2024-01
76,77,"Inarkiev, Ernesto",GM,RUS,2658,1985,2024-01
77,78,"Bartel, Mateusz",GM,POL,2657,1985,2024-01
78,79,"Shirov, Alexei",GM,ESP,2657,1972,2024-01
79,80,"Naiditsch, Arkadij",GM,BUL,2657,1985,2024-01
80,81,"Bluebaum, Matthias",GM,GER,2655,1997,2024-01
81,82,"Wang, Yue",GM,CHN,2654,1987,2024-01
82,83,"Sadhwani, Raunak",GM,IND,2654,2005,2024-01
83,84,"Vallejo Pons, Francisco",GM,ESP,2653,1982,2024-01
84,85,"Ma, Qun",GM,CHN,2651,1991,2024-01
85,86,"Li, Chao b",GM,CHN,2651,1989,2024-01
86,87,"Shevchenko, Kirill",GM,ROU,2651,2002,2024-01
87,88,"Mamedov, Rauf",GM,AZE,2651,1988,2024-01
88,89,"Alekseenko, Kirill",GM,AUT,2650,1997,2024-01
89,90,"Kryvoruchko, Yuriy",GM,UKR,2650,1986,2024-01
90,91,"Ter-Sahakyan, Samvel",GM,ARM,2649,1993,2024-01
91,92,"Ni, Hua",GM,CHN,2649,1983,2024-01
92,93,"Malakhov, Vladimir",GM,FID,2648,1980,2024-01
93,94,"Ponomariov, Ruslan",GM,UKR,2647,1983,2024-01
94,95,"Nabaty, Tamir",GM,ISR,2646,1991,2024-01
95,96,"Puranik, Abhimanyu",GM,IND,2645,2000,2024-01
96,97,"Pichot, Alan",GM,ESP,2644,1998,2024-01
97,98,"Grigoryan, Karen H.",GM,ARM,2643,1995,2024-01
98,99,"Donchenko, Alexander",GM,GER,2642,1998,2024-01
99,100,"Lagarde, Maxime",GM,FRA,2642,1994,2024-01
0,1,"Carlsen, Magnus",GM,NOR,2830,1990,2024-02
1,2,"Caruana, Fabiano",GM,USA,2804,1992,2024-02
2,3,"Nakamura, Hikaru",GM,USA,2788,1987,2024-02
3,4,"Giri, Anish",GM,NED,2762,1994,2024-02
4,5,"Ding, Liren",GM,CHN,2762,1992,2024-02
5,6,"Firouzja, Alireza",GM,FRA,2760,2003,2024-02
6,7,"Nepomniachtchi, Ian",GM,RUS,2758,1990,2024-02
7,8,"So, Wesley",GM,USA,2757,1993,2024-02
8,9,"Wei, Yi",GM,CHN,2755,1999,2024-02
9,10,"Dominguez Perez, Leinier",GM,USA,2752,1983,2024-02
